File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_12_10_wired.pcap | Start: 2025-02-01T18:10:24-05:00 | End: 2025-02-01T18:12:52-05:00 | Bandwidth/10: 130875.49 bps | TCP: 4155 | UDP: 160
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_13_06_wireless.pcap | Start: 2025-02-01T18:12:52-05:00 | End: 2025-02-01T18:13:05-05:00 | Bandwidth/10: 1293.40 bps | TCP: 0 | UDP: 101
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_13_10_wired.pcap | Start: 2025-02-01T18:13:05-05:00 | End: 2025-02-01T18:15:26-05:00 | Bandwidth/10: 137779.21 bps | TCP: 4101 | UDP: 92
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_14_06_wireless.pcap | Start: 2025-02-01T18:15:26-05:00 | End: 2025-02-01T18:15:32-05:00 | Bandwidth/10: 5806.76 bps | TCP: 4 | UDP: 163
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_14_10_wired.pcap | Start: 2025-02-01T18:15:32-05:00 | End: 2025-02-01T18:18:05-05:00 | Bandwidth/10: 127100.16 bps | TCP: 4057 | UDP: 136
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_15_06_wireless.pcap | Start: 2025-02-01T18:18:05-05:00 | End: 2025-02-01T18:18:20-05:00 | Bandwidth/10: 1518.23 bps | TCP: 0 | UDP: 120
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_15_10_wired.pcap | Start: 2025-02-01T18:18:20-05:00 | End: 2025-02-01T18:20:10-05:00 | Bandwidth/10: 165907.83 bps | TCP: 3851 | UDP: 114
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_16_06_wireless.pcap | Start: 2025-02-01T18:20:10-05:00 | End: 2025-02-01T18:20:16-05:00 | Bandwidth/10: 2741.40 bps | TCP: 0 | UDP: 107
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_16_10_wired.pcap | Start: 2025-02-01T18:20:16-05:00 | End: 2025-02-01T18:22:27-05:00 | Bandwidth/10: 147208.97 bps | TCP: 3983 | UDP: 132
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_17_06_wireless.pcap | Start: 2025-02-01T18:22:27-05:00 | End: 2025-02-01T18:22:40-05:00 | Bandwidth/10: 3128.38 bps | TCP: 0 | UDP: 166
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_17_10_wired.pcap | Start: 2025-02-01T18:22:40-05:00 | End: 2025-02-01T18:24:23-05:00 | Bandwidth/10: 176128.32 bps | TCP: 3700 | UDP: 83
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_18_06_wireless.pcap | Start: 2025-02-01T18:24:23-05:00 | End: 2025-02-01T18:24:35-05:00 | Bandwidth/10: 1561.54 bps | TCP: 0 | UDP: 115
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_18_10_wired.pcap | Start: 2025-02-01T18:24:35-05:00 | End: 2025-02-01T18:26:45-05:00 | Bandwidth/10: 149137.64 bps | TCP: 3962 | UDP: 74
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_19_06_wireless.pcap | Start: 2025-02-01T18:26:45-05:00 | End: 2025-02-01T18:27:01-05:00 | Bandwidth/10: 1589.05 bps | TCP: 0 | UDP: 143
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_19_10_wired.pcap | Start: 2025-02-01T18:27:01-05:00 | End: 2025-02-01T18:28:56-05:00 | Bandwidth/10: 169590.62 bps | TCP: 3948 | UDP: 69
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_20_06_wireless.pcap | Start: 2025-02-01T18:28:56-05:00 | End: 2025-02-01T18:29:02-05:00 | Bandwidth/10: 2264.04 bps | TCP: 0 | UDP: 87
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_20_10_wired.pcap | Start: 2025-02-01T18:29:02-05:00 | End: 2025-02-01T18:30:50-05:00 | Bandwidth/10: 180069.95 bps | TCP: 3944 | UDP: 71
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_21_06_wireless.pcap | Start: 2025-02-01T18:30:50-05:00 | End: 2025-02-01T18:31:04-05:00 | Bandwidth/10: 1560.12 bps | TCP: 0 | UDP: 121
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_21_10_wired.pcap | Start: 2025-02-01T18:31:04-05:00 | End: 2025-02-01T18:33:13-05:00 | Bandwidth/10: 150503.70 bps | TCP: 3985 | UDP: 76
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_22_06_wireless.pcap | Start: 2025-02-01T18:33:13-05:00 | End: 2025-02-01T18:33:19-05:00 | Bandwidth/10: 4016.33 bps | TCP: 0 | UDP: 113
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_22_10_wired.pcap | Start: 2025-02-01T18:33:19-05:00 | End: 2025-02-01T18:35:06-05:00 | Bandwidth/10: 180576.78 bps | TCP: 3923 | UDP: 92
File: /home/umd-user/Downloads/Scripts/benign1/2023-10-31-09_23_06_wireless.pcap | Start: 2025-02-01T18:35:06-05:00 | End: 2025-02-01T18:35:18-05:00 | Bandwidth/10: 1962.81 bps | TCP: 0 | UDP: 122
