timestamp,cpu_usage,tcp_connections,udp_connections,packet_rate
2024-06-19 14:44:00,8,1276,59,84
2024-06-19 14:44:30,8,1277,56,76
2024-06-19 14:45:00,8,1277,47,80
2024-06-19 14:45:30,8,1276,47,81
2024-06-19 14:46:00,8,1286,66,79
2024-06-19 14:46:30,8,1286,79,79
2024-06-19 14:47:00,7,1286,69,87
2024-06-19 14:47:30,8,1288,58,78
2024-06-19 14:48:00,8,1279,51,82
2024-06-19 14:48:30,7,1272,52,76
2024-06-19 14:49:00,7,1257,58,80
2024-06-19 14:49:30,8,1242,55,79
2024-06-19 14:50:00,7,1249,56,91
2024-06-19 14:50:30,8,1264,70,82
2024-06-19 14:51:00,8,1277,85,93
2024-06-19 14:51:30,8,1288,73,71
2024-06-19 14:52:00,8,1288,52,86
2024-06-19 14:52:30,8,1303,48,80
2024-06-19 14:53:00,9,1301,56,83
2024-06-19 14:53:30,8,1296,66,76
2024-06-19 14:54:00,8,1289,64,80
2024-06-19 14:54:30,7,1263,54,74
2024-06-19 14:55:00,8,1261,52,85
2024-06-19 14:55:30,8,1281,53,81
2024-06-19 14:56:00,7,1286,50,89
2024-06-19 14:56:30,8,1290,53,73
2024-06-19 14:57:00,8,1281,65,95
2024-06-19 14:57:30,8,1273,89,82
2024-06-19 14:58:00,9,1278,109,213
2024-06-19 14:58:30,8,1288,99,302
2024-06-19 14:59:00,8,1306,82,100
2024-06-19 14:59:30,8,1299,78,121
2024-06-19 15:00:00,8,1309,94,409
2024-06-19 15:00:30,8,1313,97,241
2024-06-19 15:01:00,8,1296,77,475
2024-06-19 15:01:30,8,1297,68,229
2024-06-19 15:02:00,8,1280,67,544
2024-06-19 15:02:30,7,1283,66,338
2024-06-19 15:03:00,8,1283,65,267
2024-06-19 15:03:30,8,1275,72,233
2024-06-19 15:04:00,8,1285,86,265
2024-06-19 15:04:30,8,1291,90,92
2024-06-19 15:05:00,8,1307,82,101
2024-06-19 15:05:30,7,1318,76,103
2024-06-19 15:06:00,9,1308,87,78
2024-06-19 15:06:30,8,1289,86,69
2024-06-19 15:07:00,8,1268,58,73
2024-06-19 15:07:30,8,1263,47,80
2024-06-19 15:08:00,8,1272,54,69
2024-06-19 15:08:30,8,1271,67,83
2024-06-19 15:09:00,8,1283,70,78
2024-06-19 15:09:30,7,1284,61,80
2024-06-19 15:10:00,8,1287,53,77
2024-06-19 15:10:30,8,1325,51,81
2024-06-19 15:11:00,8,1314,57,75
2024-06-19 15:11:30,8,1309,61,80
2024-06-19 15:12:00,8,1302,57,72
2024-06-19 15:12:30,7,1274,52,79
2024-06-19 15:13:00,8,1277,50,76
2024-06-19 15:13:30,8,1272,55,70
2024-06-19 15:14:00,8,1278,62,78
2024-06-19 15:14:30,8,1277,57,76
2024-06-19 15:15:00,7,1274,50,84
2024-06-19 15:15:30,8,1287,46,83
2024-06-19 15:16:00,7,1291,52,76
2024-06-19 15:16:30,8,1294,64,83
2024-06-19 15:17:00,8,1293,69,74
2024-06-19 15:17:30,8,1279,61,82
2024-06-19 15:18:00,8,1291,58,77
2024-06-19 15:18:30,8,1279,57,72
2024-06-19 15:19:00,7,1271,58,74
2024-06-19 15:19:30,8,1274,54,75
2024-06-19 15:20:00,7,1275,46,82
2024-06-19 15:20:30,7,1286,47,74
2024-06-19 15:21:00,8,1299,52,83
2024-06-19 15:21:30,8,1294,56,74
2024-06-19 15:22:00,7,1287,49,78
2024-06-19 15:22:30,8,1285,44,76
2024-06-19 15:23:00,7,1280,46,79
2024-06-19 15:23:30,8,1279,54,83
2024-06-19 15:24:00,8,1281,55,85
2024-06-19 15:24:30,7,1274,52,89
2024-06-19 15:25:00,9,813,85,108
2024-06-19 15:25:30,3,364,148,138
2024-06-19 15:26:00,5,668,134,88
2024-06-19 15:26:30,6,954,62,81
2024-06-19 15:27:00,8,1222,72,91
2024-06-19 15:27:30,8,1277,68,77
2024-06-19 15:28:00,8,1274,65,1641
2024-06-19 15:28:30,8,1284,71,86
2024-06-19 15:29:00,8,1283,63,79
2024-06-19 15:29:30,8,1280,63,82
2024-06-19 15:30:00,9,1307,104,248
2024-06-19 15:30:30,8,1313,122,93
2024-06-19 15:31:00,8,1306,92,89
2024-06-19 15:31:30,8,1302,67,85
2024-06-19 15:32:00,8,1290,61,86
2024-06-19 15:32:30,8,1279,58,85
2024-06-19 15:33:00,8,1273,56,88
2024-06-19 15:33:30,8,1280,63,87
2024-06-19 15:34:00,8,1277,71,103
2024-06-19 15:34:30,8,1286,66,89
2024-06-19 15:35:00,8,1305,61,85
2024-06-19 15:35:30,8,1310,68,87
2024-06-19 15:36:00,8,1314,82,94
2024-06-19 15:36:30,9,894,80,83
2024-06-19 15:37:00,3,318,105,83
2024-06-19 15:37:30,5,616,113,90
2024-06-19 15:38:00,6,904,70,81
2024-06-19 15:38:30,7,1182,62,84
2024-06-19 15:39:00,8,1268,56,78
2024-06-19 15:39:30,8,1262,56,82
2024-06-19 15:40:00,8,1251,58,83
2024-06-19 15:40:30,8,1277,62,94
2024-06-19 15:41:00,8,1286,63,81
2024-06-19 15:41:30,8,1296,66,87
2024-06-19 15:42:00,8,1296,69,78
2024-06-19 15:42:30,8,1274,64,116
2024-06-19 15:43:00,8,1271,94,106
2024-06-19 15:43:30,8,1266,106,104
2024-06-19 15:44:00,7,1261,92,102
2024-06-19 15:44:30,7,1264,85,77
2024-06-19 15:45:00,7,1268,61,86
2024-06-19 15:45:30,8,1285,48,80
2024-06-19 15:46:00,8,1291,53,79
2024-06-19 15:46:30,10,933,120,348
2024-06-19 15:47:00,4,319,212,87
2024-06-19 15:47:30,5,631,211,173
2024-06-19 15:48:00,7,937,108,92
2024-06-19 15:48:30,8,1211,106,85
2024-06-19 15:49:00,8,1293,116,166
2024-06-19 15:49:30,8,1288,89,90
2024-06-19 15:50:00,8,1284,86,96
2024-06-19 15:50:30,8,1289,82,103
2024-06-19 15:51:00,8,1292,71,119
2024-06-19 15:51:30,8,1282,72,84
2024-06-19 15:52:00,8,1281,67,130
2024-06-19 15:52:30,8,1273,55,108
2024-06-19 15:53:00,7,1281,61,95
2024-06-19 15:53:30,8,1284,81,72
2024-06-19 15:54:00,8,1280,78,105
2024-06-19 15:54:30,7,1276,58,78
2024-06-19 15:55:00,8,1273,67,102
2024-06-19 15:55:30,7,1293,66,117
2024-06-19 15:56:00,8,1297,61,118
2024-06-19 15:56:30,8,1293,80,106
2024-06-19 15:57:00,8,1282,84,100
2024-06-19 15:57:30,8,1261,77,135
2024-06-19 15:58:00,9,1275,144,119
2024-06-19 15:58:30,9,1278,140,89
2024-06-19 15:59:00,8,1283,82,91
2024-06-19 15:59:30,8,1298,64,100
2024-06-19 16:00:00,8,1301,48,94
2024-06-19 16:00:30,8,1298,54,91
2024-06-19 16:01:00,8,1297,62,104
2024-06-19 16:01:30,7,1280,71,97
2024-06-19 16:02:00,7,1277,67,119
2024-06-19 16:02:30,8,1288,100,111
2024-06-19 16:03:00,8,1281,105,121
2024-06-19 16:03:30,7,1269,63,110
2024-06-19 16:04:00,8,1264,62,95
2024-06-19 16:04:30,8,1267,62,86
2024-06-19 16:05:00,8,1286,67,106
2024-06-19 16:05:30,8,1321,87,129
2024-06-19 16:06:00,8,1323,81,83
2024-06-19 16:06:30,8,1309,103,320
2024-06-19 16:07:00,8,1301,120,96
2024-06-19 16:07:30,8,1274,78,75
2024-06-19 16:08:00,8,1270,65,81
2024-06-19 16:08:30,8,1271,70,81
2024-06-19 16:09:00,8,1257,77,114
2024-06-19 16:09:30,9,941,73,88
2024-06-19 16:10:00,3,280,94,82
2024-06-19 16:10:30,5,607,101,89
2024-06-19 16:11:00,6,905,59,71
2024-06-19 16:11:30,9,1359,100,206
2024-06-19 16:12:00,9,1489,107,77
2024-06-19 16:12:30,9,1479,88,91
2024-06-19 16:13:00,9,1475,88,139
2024-06-19 16:13:30,8,1344,96,86
2024-06-19 16:14:00,8,1316,120,102
2024-06-19 16:14:30,8,1307,128,113
2024-06-19 16:15:00,8,1309,96,128
2024-06-19 16:15:30,8,1317,79,246
2024-06-19 16:16:00,8,1325,84,101
2024-06-19 16:16:30,8,1330,89,81
2024-06-19 16:17:00,8,1319,75,79
2024-06-19 16:17:30,8,1304,78,156
2024-06-19 16:18:00,9,1331,172,336
2024-06-19 16:18:30,10,1348,268,170
2024-06-19 16:19:00,10,850,195,210
2024-06-19 16:19:30,4,367,214,215
2024-06-19 16:20:00,6,655,278,109
2024-06-19 16:20:30,7,934,145,88
2024-06-19 16:21:00,7,1223,79,127
2024-06-19 16:21:30,8,1290,100,128
2024-06-19 16:22:00,9,849,81,99
2024-06-19 16:22:30,4,322,105,95
2024-06-19 16:23:00,5,631,123,96
2024-06-19 16:23:30,9,434,115,688
2024-06-19 16:24:00,5,309,196,502
2024-06-19 16:24:30,6,622,233,409
2024-06-19 16:25:00,7,941,153,205
2024-06-19 16:25:30,8,1227,109,293
2024-06-19 16:26:00,9,1336,92,212
2024-06-19 16:26:30,8,1318,99,145
2024-06-19 16:27:00,8,1298,86,303
2024-06-19 16:27:30,8,1273,57,166
2024-06-19 16:28:00,7,1277,55,186
2024-06-19 16:28:30,8,1271,54,290
