2024-08-22 17:11:39, CPU USAGE: 8%, TOTAL MEM: 251776 KB, USED MEM: 35408 KB, FREE MEM: 188844 KB
2024-08-22 17:11:40, CPU USAGE: 12%, TOTAL MEM: 251776 KB, USED MEM: 35592 KB, FREE MEM: 188912 KB
2024-08-22 17:11:41, CPU USAGE: 11%, TOTAL MEM: 251776 KB, USED MEM: 36092 KB, FREE MEM: 188496 KB
2024-08-22 17:11:42, CPU USAGE: 11%, TOTAL MEM: 251776 KB, USED MEM: 35844 KB, FREE MEM: 187520 KB
2024-08-22 17:11:44, CPU USAGE: 21%, TOTAL MEM: 251776 KB, USED MEM: 35644 KB, FREE MEM: 188896 KB
2024-08-22 17:11:45, CPU USAGE: 15%, TOTAL MEM: 251776 KB, USED MEM: 35444 KB, FREE MEM: 188972 KB
2024-08-22 17:11:46, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 35616 KB, FREE MEM: 188776 KB
2024-08-22 17:11:47, CPU USAGE: 24%, TOTAL MEM: 251776 KB, USED MEM: 35404 KB, FREE MEM: 188912 KB
2024-08-22 17:11:48, CPU USAGE: 7%, TOTAL MEM: 251776 KB, USED MEM: 35428 KB, FREE MEM: 188964 KB
2024-08-22 17:11:49, CPU USAGE: 25%, TOTAL MEM: 251776 KB, USED MEM: 35380 KB, FREE MEM: 189008 KB
2024-08-22 17:11:50, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35428 KB, FREE MEM: 189124 KB
2024-08-22 17:11:51, CPU USAGE: 26%, TOTAL MEM: 251776 KB, USED MEM: 35264 KB, FREE MEM: 189136 KB
2024-08-22 17:11:52, CPU USAGE: 8%, TOTAL MEM: 251776 KB, USED MEM: 35712 KB, FREE MEM: 188848 KB
2024-08-22 17:11:53, CPU USAGE: 7%, TOTAL MEM: 251776 KB, USED MEM: 35868 KB, FREE MEM: 188672 KB
2024-08-22 17:11:54, CPU USAGE: 11%, TOTAL MEM: 251776 KB, USED MEM: 35580 KB, FREE MEM: 188848 KB
2024-08-22 17:11:56, CPU USAGE: 6%, TOTAL MEM: 251776 KB, USED MEM: 35512 KB, FREE MEM: 188880 KB
2024-08-22 17:11:57, CPU USAGE: 21%, TOTAL MEM: 251776 KB, USED MEM: 35548 KB, FREE MEM: 188952 KB
2024-08-22 17:11:58, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35392 KB, FREE MEM: 189068 KB
2024-08-22 17:11:59, CPU USAGE: 13%, TOTAL MEM: 251776 KB, USED MEM: 35620 KB, FREE MEM: 188896 KB
2024-08-22 17:12:00, CPU USAGE: 21%, TOTAL MEM: 251776 KB, USED MEM: 35552 KB, FREE MEM: 188856 KB
2024-08-22 17:12:01, CPU USAGE: 8%, TOTAL MEM: 251776 KB, USED MEM: 35448 KB, FREE MEM: 188900 KB
2024-08-22 17:12:02, CPU USAGE: 16%, TOTAL MEM: 251776 KB, USED MEM: 35564 KB, FREE MEM: 188820 KB
2024-08-22 17:12:03, CPU USAGE: 13%, TOTAL MEM: 251776 KB, USED MEM: 35604 KB, FREE MEM: 188860 KB
2024-08-22 17:12:04, CPU USAGE: 4%, TOTAL MEM: 251776 KB, USED MEM: 35524 KB, FREE MEM: 189088 KB
2024-08-22 17:12:05, CPU USAGE: 10%, TOTAL MEM: 251776 KB, USED MEM: 38740 KB, FREE MEM: 185860 KB
